模型,模型类型,数据集,样本数,MAE,RMSE,R2,是否候选模型,AIC,BIC
稳健周期时序回归,白盒时序模型,测试集,168,0.024236845449873468,0.03161763995610489,0.6011739167165754,True,,
随机森林,黑盒模型,测试集,168,0.07960686432243338,0.09079229973471496,-2.288688106531281,True,,
季节朴素基线,基线,测试集,168,0.10922619047619049,0.12020567691213574,-4.764672123848147,False,,
SARIMAX,白盒时序模型,测试集,168,0.25784308600758443,0.2708461527683503,-28.266446647746225,True,-740.1243829355099,-630.7913881960845
随机森林,黑盒模型,训练集,600,0.032270561969280714,0.08921964605433767,0.9213713853559778,True,,
SARIMAX,白盒时序模型,训练集,588,0.058344244230972085,0.12308388190092995,0.8521955902010778,True,-740.1243829355099,-630.7913881960845
稳健周期时序回归,白盒时序模型,训练集,600,0.09324906228782774,0.23392518211165098,0.4594777394438574,True,,
