date_raw,time_raw,river_level,raw_water_pump_duty,raw_water_flow,raw_water_ntu,raw_water_color,raw_water_ph,filtered_ntu,clear_well_level,treated_ph,treated_ntu,treated_color,chlorine_residual,alum_feed_rate,alum_dosage,treated_water_pump_duty,treated_water_flow,tank_18ml_level,tank_18ml_flow,remarks,source_file,source_sheet,available_time_raw,available_river_level,available_raw_water_pump_duty,available_raw_water_flow,available_raw_water_ntu,available_raw_water_color,available_raw_water_ph,available_filtered_ntu,available_clear_well_level,available_treated_ph,available_treated_ntu,available_treated_color,available_chlorine_residual,available_alum_feed_rate,available_alum_dosage,available_treated_water_pump_duty,available_treated_water_flow,available_tank_18ml_level,available_tank_18ml_flow,available_remarks,base_date,timestamp,raw_water_pump_count,treated_water_pump_count,is_backwash_event,is_treated_ntu_exceedance,operating_date,year,month,day,hour,weekday,sampling_gap_hours,missing_river_level,missing_raw_water_flow,missing_raw_water_ntu,missing_raw_water_color,missing_raw_water_ph,missing_filtered_ntu,missing_clear_well_level,missing_treated_ph,missing_treated_ntu,missing_treated_color,missing_chlorine_residual,missing_alum_feed_rate,missing_alum_dosage,missing_treated_water_flow,missing_tank_18ml_level,missing_tank_18ml_flow,outlier_river_level,outlier_raw_water_flow,outlier_raw_water_ntu,outlier_raw_water_color,outlier_raw_water_ph,outlier_filtered_ntu,outlier_clear_well_level,outlier_treated_ph,outlier_treated_ntu,outlier_treated_color,outlier_chlorine_residual,outlier_alum_feed_rate,outlier_alum_dosage,outlier_treated_water_flow,outlier_tank_18ml_level,outlier_tank_18ml_flow,outlier_raw_water_pump_count,outlier_treated_water_pump_count
2025-08-06,13:00,3.54,,55.6,10.0,139.0,,0.09,3.82,,0.2,5.0,,,,,50.1,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-06 13:00:00,,,False,False,2025-08-06,2025,8,6,13,2,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,15:00,3.54,,55.6,10.0,139.0,,0.1,3.81,,0.2,5.0,,,,,50.1,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-06 15:00:00,,,False,False,2025-08-06,2025,8,6,15,2,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,17:00,3.5324999999999998,,55.6,10.0,139.0,,0.06,3.81,,0.2,5.0,,,,,50.1,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-06 17:00:00,,,False,False,2025-08-06,2025,8,6,17,2,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,19:00,3.525,,55.6,7.0,122.0,,0.09,3.81,,0.2,5.0,,,,,50.1,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-06 19:00:00,,,False,False,2025-08-06,2025,8,6,19,2,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,21:00,3.5175,,55.5,8.0,122.0,,0.08,3.81,,0.2,5.0,,,,,50.1,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-06 21:00:00,,,False,False,2025-08-06,2025,8,6,21,2,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,23:00,3.51,,54.3,7.0,120.0,,0.09,3.83,,0.21,5.0,,,,,50.0,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-06 23:00:00,,,False,False,2025-08-06,2025,8,6,23,2,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,01:00,3.5,,54.3,7.0,120.0,,0.09,3.83,,0.2,5.0,,,,,50.2,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-07 01:00:00,,,False,False,2025-08-06,2025,8,7,1,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,03:00,3.49,,54.4,8.0,121.0,,0.09,3.83,,0.2,5.0,,,,,50.0,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-07 03:00:00,,,False,False,2025-08-06,2025,8,7,3,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,05:00,3.48,,54.5,8.0,121.0,,0.1,3.83,,0.19,5.0,,,,,50.1,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-06,2025-08-07 05:00:00,,,False,False,2025-08-06,2025,8,7,5,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,07:00,3.49,,54.7,8.0,121.0,,0.09,3.83,,0.19,5.0,,,,,50.4,,, ,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 07:00:00,,,False,False,2025-08-07,2025,8,7,7,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
