预测步长,count,mean,std,median,平均绝对变化
12小时,5102,2.3520188161505388e-05,0.5603635745257524,0.0,0.13539435515484124
2小时,5116,1.9546520719309214e-06,0.3003970334553731,0.0,0.047656372165754496
6小时,5110,7.82778864970596e-06,0.45835099808024826,0.0,0.09791819960861058
