目标日期,情景,预测峰值变化,峰值出现时间,12小时累计浊度增量,恢复时间/小时,恢复时间下界/小时,峰值变化80%下限,峰值变化80%上限,峰值变化95%下限,峰值变化95%上限,累计增量80%下限,累计增量80%上限,累计增量95%下限,累计增量95%上限,恢复时间80%下限,恢复时间80%上限,恢复时间95%下限,恢复时间95%上限,结论口径
2026-02-01,基准,0.0,07:00,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-01,原水+20NTU,-6.06424680749118e-08,11:00,-5.787552631586479e-08,6,6,-1.0496280051508489e-07,1.665605320055883e-07,-1.3439012716900955e-07,4.0399947904695816e-07,-6.057337423925891e-07,5.253168138596996e-07,-7.934819271526727e-07,1.6753435652300288e-06,6.0,12.0,6.0,12.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-01,原水+50NTU,-1.655521230103929e-07,11:00,-4.893850734655203e-07,6,6,-2.2165343162294793e-07,5.25216968116915e-07,-2.92760370472489e-07,1.8903205963309598e-06,-1.3572030810926615e-06,1.838051780983507e-06,-1.833365781335472e-06,7.349826692758247e-06,6.0,12.0,6.0,12.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-01,原水+100NTU,2.091883957722196e-06,17:00,4.212196347996855e-06,12,12,1.2035968386892027e-06,6.456682383862433e-06,9.995994382464013e-07,2.197121890644347e-05,2.0096047048723253e-06,1.7018763391984933e-05,9.673105795610094e-07,6.002409993764448e-05,12.0,12.0,12.0,12.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-01,矾量-0.01,2.5970462994018284e-07,11:00,1.575699521916274e-06,6,6,-1.7025720364383097e-07,3.222268300379083e-07,-8.435474865273184e-07,3.5153745436486417e-07,-3.70331518229069e-08,2.1204804848184987e-06,-2.8039180210506776e-06,2.528998588521847e-06,6.0,12.0,6.0,12.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-01,矾量+0.01,-1.9126616127018714e-07,11:00,-1.0489710533523322e-06,6,6,-2.0164842648995318e-07,2.5882784012165595e-07,-2.1935909267356556e-07,1.4505813554319128e-06,-1.3054741233309297e-06,3.8056595717539355e-07,-1.4196756802767329e-06,4.789846668111497e-06,6.0,12.0,6.0,12.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-01,原水+50NTU且矾量+0.01,-2.74070257044734e-07,11:00,-1.2975471617160395e-06,6,6,-3.3390958158185935e-07,9.542787075711434e-07,-3.7415262358619914e-07,2.8532652776969196e-06,-1.8803176968340552e-06,2.4445342102552553e-06,-2.201372949733882e-06,8.296724513631749e-06,6.0,12.0,6.0,12.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-10,基准,0.0,07:00,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-10,原水+20NTU,-0.004961686535084442,09:00,-0.029554042625569266,4,4,-0.01059266548859049,0.0026914708651473275,-0.02124806616779463,0.0054123859395378004,-0.10656336871611274,0.012185392961424735,-0.16389633253859098,0.024059220297242598,4.0,14.0,4.0,14.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-10,原水+50NTU,-0.01431640053423483,09:00,-0.10168111842452676,4,4,-0.03540232684582996,0.009563966800164332,-0.07221293424112095,0.014985214709878304,-0.3821932232670682,0.029211678294393355,-0.6197267151477224,0.06029419993791398,4.0,14.0,4.0,14.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-10,原水+100NTU,-0.03808260455501111,17:00,-0.31413461518906227,>12,12,-0.10976115176441187,0.03213956239140515,-0.18261386628170911,0.04285130299569223,-1.12427193694413,0.060972284909235654,-1.9185070769415935,0.10753408376793622,6.0,14.0,4.0,14.0,上游ARX传播后的模型情景响应，非因果效应
2026-02-10,矾量-0.01,0.009684202701475186,09:00,0.08160898220633861,4,4,-0.001803335101127597,0.011233784795543012,-0.012667380570527758,0.012815936317390478,-0.010973004843902495,0.10471615445794631,-0.05234127367971289,0.12740554684222324,4.0,10.0,4.0,12.0,上游ARX传播后的模型情景响应，非因果效应
