模型,检验滞后阶数,Ljung-Box统计量,Ljung-Box_p值,是否可视为白噪声(alpha=0.05)
无时滞多元回归,12,13472.15236593728,0.0,False
分布滞后模型(DLM),12,13495.32345265467,0.0,False
带外生输入自回归(ARX),12,1.0554876258769015,0.999980870457969,True
