模型,训练样本数,测试样本数,训练RMSE,训练MAE,训练R2,测试RMSE,测试MAE,测试R2,AIC,BIC
无时滞多元回归,3044,761,0.7136731784068998,0.29110343771494973,0.038968461443656954,0.20327168096689735,0.16438499771667225,-0.7701755883787966,6596.831807982739,6632.957374296628
分布滞后模型(DLM),3044,761,0.713844986294285,0.29177996693734193,0.038505693112812156,0.2004770400684015,0.16430775274254592,-0.7218363548167068,6598.2972414172345,6634.422807731124
带外生输入自回归(ARX),3044,761,0.30709119796732526,0.0791481621645973,0.8220599832459116,0.14255791842909088,0.03818485410103752,0.1293466391382737,1486.9409825847188,1595.317681526387
