模型,参数,标准化系数,HAC标准误,t统计量,p值,95%置信区间下限,95%置信区间上限,作用方向
带外生输入自回归(ARX),const,0.25218462549277204,0.005578637818078122,45.20541281162636,0.0,0.2412506962865458,0.26311855469899825,正向
带外生输入自回归(ARX),raw_water_ntu_lag1,0.01096568398712193,0.00812325349858928,1.3499128137545233,0.17704395096097425,-0.004955600307402049,0.02688696828164591,正向
带外生输入自回归(ARX),raw_water_ph_lag1,0.0003375252820748305,0.0016943423416612095,0.19920725214474988,0.8421006267234558,-0.002983324685062399,0.00365837524921206,正向
带外生输入自回归(ARX),alum_dosage_lag1,0.0015929912865744779,0.005373496923256317,0.29645337278971245,0.7668838704580645,-0.008938869154044694,0.01212485172719365,正向
带外生输入自回归(ARX),raw_water_flow_lag2,0.009105246082907362,0.0055930230724130425,1.6279650494949618,0.1035322968639285,-0.0018568777037237597,0.020067369869538484,正向
带外生输入自回归(ARX),filtered_ntu_lag1,0.7191212083791707,0.03492544482342188,20.59018036892432,3.361153798079557e-94,0.6506685943812229,0.7875738223771185,正向
带外生输入自回归(ARX),filtered_ntu_lag2,-0.15202931821101207,0.06406491581121698,-2.3730510886645635,0.017641823560752622,-0.27759424587358805,-0.026464390548436106,负向
带外生输入自回归(ARX),filtered_ntu_lag3,0.03482277383497809,0.03809774360193007,0.9140376973195318,0.36069703776949313,-0.03984743151704613,0.1094929791870023,正向
带外生输入自回归(ARX),filtered_ntu_lag4,0.09458157254433336,0.0430653665147138,2.1962328478504514,0.02807528139219644,0.010175005194477074,0.17898813989418966,正向
带外生输入自回归(ARX),filtered_ntu_lag5,-0.055177867042536494,0.02920127289372314,-1.889570610272851,0.05881541090663894,-0.11241131021695958,0.0020555761318865884,负向
带外生输入自回归(ARX),filtered_ntu_lag6,-0.03873735920344955,0.05214759689325995,-0.7428407349765399,0.4575781100053049,-0.14094477099455188,0.06347005258765277,负向
带外生输入自回归(ARX),filtered_ntu_lag7,0.0802804381960892,0.04465707150381774,1.7977094218824003,0.0722230675612284,-0.007245813606423526,0.16780668999860193,正向
带外生输入自回归(ARX),filtered_ntu_lag8,-0.03967379745156378,0.024635757985563323,-1.6104151321348759,0.10730725927605368,-0.08795899583511294,0.008611400931985362,负向
带外生输入自回归(ARX),filtered_ntu_lag9,0.028368015516459455,0.021736423782316265,1.3050912054603179,0.19186179304957607,-0.014234592249580326,0.07097062328249923,正向
带外生输入自回归(ARX),filtered_ntu_lag10,0.032264041161088726,0.016303800289051092,1.9789276480990645,0.04782415287069766,0.00030917978341486047,0.06421890253876258,正向
带外生输入自回归(ARX),filtered_ntu_lag11,-0.04458624674973502,0.02250276655819201,-1.981367341408234,0.04755009345220089,-0.08869085875630371,-0.0004816347431663287,负向
带外生输入自回归(ARX),filtered_ntu_lag12,0.0061490925869497875,0.019623058362199592,0.31336056151139746,0.7540067437452721,-0.03231139506948895,0.04460958024338853,正向
带外生输入自回归(ARX),is_backwash_event,0.004351632596278302,0.0036875973579872717,1.180072598450246,0.2379713418386099,-0.002875925414861807,0.01157919060741841,正向
